Predictions for J/psi R_AA(Npart,pt) in PbPb(5.02TeV) collisions
###############################################################

1. Calculations based on transport model of 
X.Zhao+R.Rapp,PRC82(2010)064905,
extended to PbPb at LHC in 
X.Zhao+R.Rapp,NPA859(2011)114 and X.Du+R.Rapp,NPA943(2015)147.

2. Improved hadronic dissociation rates (including many more non-/strange mesons) 
based on X.Du+R.Rapp,NPA943(2015)147.

3. Charged particle multiplicity for 5.02TeV at mid-rapidity taken from 
H.Niemi,K.J.Eskola,R.Paatelainen+K.Tuominen,arxiv1511.04296

4. Inclusive J/psi production cross sections (dsigma/dy): 
1.6<y<2.4: 3.41/4.85 microbarn at 2.76/5.02 TeV 
|y|<0.9:   3.75/5.34 microbarn at 2.76/5.02 TeV. 

5. Psi(2S) production cross sections (dsigma/dy): 
1.6<y<2.4: 0.48/0.68 microbarn at 2.76/5.02 TeV 
|y|<0.9:   0.53/0.75 microbarn at 2.76/5.02 TeV. 

6. Open charm production cross sections (dsigma/dy):
1.6<y<2.4: 0.59/0.84 mb at 2.76/5.02 TeV 
|y|<0.9:   0.65/0.92 mb at 2.76/5.02 TeV

7. Uncertainty band includes cold nuclear matter modification with/without Cronin effect

8. Uncertainty in Psi(2S) dissociation rates includes factor of 3-4 (2) for QGP (hadronic) rate 
 to reproduce suppression in dA/pA collisions.

9. Uncertainty in regeneration freezeout temperatures is T=160-165MeV for Psi(2S), and 
179MeV-181MeV(200MeV) for J/psi at 5.02(2.76)TeV to reproduce J/psi R_AA(pt) from ALICE.

8. 5.02 TeV calculations assume 10% more shadowing than at 2.76 TeV.

9. Npart from Glauber model with sig_NN^inel=65mb.


Centrality dependence of RAA(Psi(2S))/RAA(J/psi) double ratio for 5.02TeV
-------------------------------------------------------------------------
	         	6.5-30GeV,|y|<1.6      	   3-30GeV,1.6<y<2.4
Npart		min      	max              min             max
4.8		0.28348		0.324985	0.222587	0.347988
5		0.262271	0.305798	0.211447	0.327271
5.2		0.242039	0.28708		0.202533	0.309591
5.4		0.221239	0.266836	0.194118	0.292948
5.6		0.201065	0.247397	0.187612	0.279335
5.8		0.183132	0.229688	0.181736	0.267028
6		0.166575	0.213454	0.177304	0.257265
6.2		0.15068		0.196541	0.173788	0.249196
6.4		0.137216	0.183393	0.169356	0.240448
6.6		0.123803	0.169358	0.166999	0.234882
6.8		0.11274		0.157733	0.164693	0.229755
7		0.102998	0.147374	0.162865	0.225549
7.2		0.095142	0.139438	0.162783	0.224061
7.4		0.087755	0.130985	0.161879	0.221579
7.6		0.082176	0.12576		0.161999	0.220741
7.8		0.078274	0.122345	0.161306	0.218843
8		0.074896	0.119472	0.161842	0.218762
8.2		0.071209	0.115426	0.162433	0.218741
8.4		0.068787	0.113016	0.16247		0.217977
8.6		0.066332	0.110169	0.163516	0.218636
8.8		0.065145	0.109254	0.164119	0.218715
9		0.064374	0.108546	0.165265	0.21947
9.2		0.064389	0.108968	0.166249	0.220015
9.4		0.064468	0.10944		0.168171	0.221837
9.6		0.064178	0.109297	0.16955		0.222892
9.8		0.065074	0.110966	0.171151	0.224276
10		0.065151	0.111238	0.172873	0.225744
10.2		0.066453	0.113359	0.174962	0.227698
10.4		0.067093	0.114671	0.17656		0.229004
10.6		0.068404	0.116784	0.177429	0.22926
10.8		0.069125	0.118023	0.179462	0.231075
11		0.07068		0.120329	0.181542	0.232928
11.2		0.071009	0.120904	0.182965	0.233876
11.4		0.072036	0.122143	0.18423		0.234619
11.6	 	0.073452	0.124129	0.186338	0.236457
11.8		0.075031	0.126341	0.188481	0.238325
12		0.076473	0.12833		0.190066	0.23945
12.2		0.077896	0.130142	0.190263	0.238788
12.4		0.078319	0.130467	0.191848	0.239899
12.6		0.078859	0.131368	0.193795	0.241491
12.8		0.080184	0.133124	0.195917	0.243285
13		0.081793	0.135302	0.197452	0.24433
13.2		0.083259	0.137281	0.199656	0.246228
13.4		0.08388		0.137756	0.201133	0.247167
13.6		0.084297	0.138189	0.20281		0.248403
13.8		0.085633	0.139781	0.204557	0.249712
14		0.086743	0.14136		0.206461	0.251238
14.2		0.08759		0.142278	0.208194	0.252519
14.4		0.08906		0.144221	0.210236	0.254214
14.6		0.090539	0.146152	0.211961	0.255509
14.8		0.091843	0.147902	0.214078	0.257303
15		0.093211	0.149713	0.216247	0.25916
15.2		0.094519	0.151378	0.218349	0.260932
15.4		0.09603		0.153306	0.22055		0.262823
15.6		0.097029	0.154482	0.222549	0.264459
15.8		0.098451	0.156298	0.224652	0.266241
16		0.099909	0.158169	0.22679		0.268065
16.2		0.101366	0.160012	0.228932	0.269892
16.4		0.10276		0.161812	0.230512	0.271077
16.6		0.104213	0.163607	0.231976	0.272106
16.8		0.105728	0.165511	0.23416		0.273998
17		0.106804	0.166974	0.236271	0.275814
17.2		0.108229	0.168758	0.238503	0.27777
17.4		0.1097		0.17059		0.24075		0.279745
17.6		0.111176	0.172429	0.242978	0.281701
17.8		0.112637	0.174233	0.245173	0.283619
18		0.112657	0.174224	0.246913	0.285005
18.2		0.114135	0.176055	0.24912		0.286948
18.4		0.115616	0.177886	0.251318	0.288882
18.6		0.117097	0.179709	0.253486	0.290785
18.8		0.118556	0.181505	0.255686	0.292729
19		0.12005		0.183338	0.257868	0.294655
19.2		0.121525	0.185147	0.260058	0.296595
19.4		0.122986	0.186945	0.262243	0.298532
19.6		0.124422	0.188702	0.264451	0.300498
19.8		0.125907	0.190508	0.266662	0.302472
20		0.127372	0.192285	0.268865	0.30444
20.2		0.128853	0.19408		0.270875	0.306196
20.4		0.13032		0.195856	0.273066	0.308157
20.6		0.131769	0.197608	0.275253	0.310116
20.8		0.133208	0.199348	0.277427	0.312065
21		0.134686	0.201122	0.279612	0.314027
21.2		0.136159	0.20289		0.28168		0.315865
21.4		0.137624	0.204644	0.283805	0.317768
21.6		0.138707	0.206042	0.285844	0.319585
21.8		0.14017		0.207784	0.287992	0.321519
22		0.141631	0.20952		0.29011		0.323424
22.2		0.143078	0.211232	0.292242	0.325346
22.4		0.14449		0.212914	0.294362	0.32726
22.6		0.14595		0.214642	0.296322	0.328997
22.8		0.147403	0.216359	0.29844		0.330915
23		0.148866	0.218083	0.300557	0.332834
23.2		0.150329	0.219805	0.302664	0.334745
23.4		0.151755	0.221488	0.304712	0.336593
23.6		0.153208	0.223192	0.306617	0.338292
23.8		0.154511	0.224697	0.308661	0.340141
24		0.155913	0.226325	0.310708	0.341997
24.2		0.157353	0.227997	0.312764	0.343866
24.4		0.158793	0.229674	0.3148		0.345716
24.6		0.160239	0.231356	0.316232	0.346908
24.8		0.161682	0.23303		0.318212	0.348704
25		0.163061	0.234627	0.320065	0.350362
25.2		0.164322	0.23598		0.322061	0.352171
25.4		0.16576		0.237641	0.323609	0.3535
25.6		0.166994	0.23912		0.325544	0.355264
25.8		0.168423	0.240766	0.327508	0.357055
26		0.169826	0.242384	0.329454	0.358831
26.2		0.170568	0.243384	0.331257	0.360463
26.4		0.171522	0.244492	0.333073	0.362101
26.6		0.172927	0.246107	0.335008	0.363872
26.8		0.17429		0.247668	0.336936	0.365638
27		0.175698	0.249279	0.338824	0.367363
27.2		0.177115	0.250894	0.340734	0.369115
27.4		0.178519	0.252492	0.34259		0.37081
27.6		0.179263	0.253303	0.344258	0.372298
27.8		0.180669	0.254902	0.346134	0.37402
28		0.182072	0.256493	0.347999	0.375733
28.2		0.183431	0.258031	0.349844	0.377425
28.4		0.184829	0.259613	0.351691	0.379124
28.6		0.186171	0.261129	0.35351		0.380792
28.8		0.187555	0.26269		0.355332	0.382467
29		0.188946	0.264256	0.357147	0.384137
29.2		0.1903		0.265781	0.35894		0.385785
29.4		0.191684	0.267334	0.36019		0.386856
29.6		0.193065	0.268881	0.361974	0.388499
29.8		0.194397	0.270377	0.363723	0.390106
30		0.19577		0.271912	0.365485	0.39173



Minimum-bias Momemtum (pt) dependence of RAA at 1.6<y<2.4 for 5.02TeV
---------------------------------------------------------------------
			Psi(2S)   	            	J/psi
pt		    min        	max      	min	     	max
0		0.330639	0.359253	0.803067	1.174585
0.2		0.331122	0.359808	0.802474	1.169039
0.4		0.332671	0.361235	0.801388	1.153284
0.6		0.334995	0.363309	0.799803	1.127599
0.8		0.338486	0.366408	0.796535	1.091154
1		0.342964	0.370264	0.791862	1.045368
1.2		0.348206	0.374615	0.785201	0.991229
1.4		0.354265	0.379584	0.775561	0.929756
1.6		0.361275	0.384583	0.763193	0.863833
1.8		0.368541	0.389687	0.747658	0.797081
2		0.376208	0.394279	0.714907	0.747366
2.2		0.383247	0.398591	0.650381	0.713179
2.4		0.390096	0.401026	0.589696	0.683574
2.6		0.395449	0.40232		0.533766	0.650984
2.8		0.399273	0.403327	0.482723	0.617912
3		0.395046	0.403346	0.434865	0.584979
3.2		0.388088	0.400798	0.393547	0.552101
3.4		0.378522	0.398024	0.357546	0.519067
3.6		0.366465	0.391989	0.32657		0.486649
3.8		0.351773	0.382636	0.300503	0.455912
4		0.3346		0.364512	0.278217	0.426645
4.2		0.316655	0.35032		0.259687	0.39984
4.4		0.297559	0.334477	0.243488	0.374551
4.6		0.27684		0.315982	0.22967		0.351482
4.8		0.25675		0.298326	0.218421	0.331406
5		0.235682	0.278464	0.209082	0.313807
5.2		0.216462	0.260528	0.200841	0.297961
5.4		0.196788	0.241707	0.194023	0.284447
5.6		0.179689	0.225537	0.188436	0.273024
5.8		0.162226	0.207089	0.183128	0.262447
6		0.148187	0.193986	0.179475	0.254681
6.2		0.132718	0.177801	0.176219	0.247874
6.4		0.121994	0.167677	0.173777	0.242522
6.6		0.111522	0.157135	0.171979	0.238411
6.8		0.102014	0.146631	0.170816	0.235399
7		0.094677	0.139363	0.1707		0.234122
7.2		0.088574	0.133775	0.168724	0.230472
7.4		0.0833		0.128908	0.169057	0.230121
7.6		0.078063	0.123311	0.168869	0.229081
7.8		0.074471	0.119641	0.169405	0.229124
8		0.071615	0.116977	0.16985		0.229019
8.2		0.069908	0.115678	0.170316	0.228979
8.4		0.068625	0.114746	0.171601	0.230095
8.6		0.066813	0.11221		0.17257		0.230661
8.8		0.066831	0.113045	0.17441		0.232508
9		0.067114	0.114175	0.176345	0.234458
9.2		0.067408	0.115317	0.176833	0.234383
9.4		0.068333	0.117132	0.178293	0.235598
9.6		0.069044	0.118691	0.179306	0.236197
9.8		0.068462	0.118115	0.180947	0.237561
10		0.06923		0.119525	0.182511	0.238836
10.2		0.07046		0.121324	0.184566	0.240709
10.4		0.071449	0.122613	0.185712	0.241298
10.6		0.072445	0.124197	0.187233	0.242405
10.8		0.072813	0.124745	0.188826	0.243566
11		0.074136	0.126605	0.191103	0.245619
11.2		0.075081	0.127939	0.192508	0.246479
11.4		0.076736	0.130345	0.194281	0.247862
11.6		0.07792		0.132089	0.195774	0.248834
11.8		0.079284	0.133706	0.197954	0.250673
12		0.080797	0.135545	0.199859	0.252142
12.2		0.082107	0.137063	0.201113	0.252761
12.4		0.082748	0.137944	0.202749	0.253904
12.6		0.084168	0.139945	0.205029	0.255866
12.8		0.085721	0.141978	0.207241	0.257723
13		0.086464	0.142873	0.209228	0.259279
13.2		0.087985	0.144919	0.211442	0.261134
13.4		0.089599	0.147042	0.213269	0.262513
13.6		0.091055	0.148906	0.215239	0.264064
13.8		0.092232	0.150491	0.217387	0.26583
14		0.093824	0.152587	0.219537	0.267596
14.2		0.095108	0.15434		0.221659	0.269334
14.4		0.096447	0.156155	0.223845	0.27115
14.6		0.097971	0.158122	0.226133	0.27309
14.8		0.099526	0.1601		0.228123	0.274667
15		0.10108		0.162091	0.230384	0.276573
15.2		0.102705	0.164147	0.232644	0.278478
15.4		0.104339	0.166213	0.234614	0.280028
15.6		0.105398	0.167672	0.235691	0.280514
15.8		0.107012	0.169688	0.237914	0.282385
16		0.108583	0.17165		0.240151	0.284277
16.2		0.110167	0.173625	0.242349	0.286124
16.4		0.11137		0.1751		0.244417	0.287816
16.6		0.111948	0.175846	0.246409	0.289424
16.8		0.112941	0.176972	0.248517	0.291166
17		0.114442	0.178838	0.250824	0.29316
17.2		0.115993	0.180748	0.253138	0.295164
17.4		0.117604	0.182728	0.255429	0.297146
17.6		0.119071	0.18455		0.257698	0.299106
17.8		0.120631	0.186445	0.25996		0.30106
18		0.122182	0.188331	0.261977	0.302728
18.2		0.123778	0.19027		0.264228	0.304678
18.4		0.125279	0.192104	0.266483	0.306638
18.6		0.126792	0.193943	0.268722	0.308582
18.8		0.128392	0.19587		0.269908	0.309323
19		0.129986	0.197787	0.272185	0.31132
19.2		0.131576	0.199697	0.274487	0.313352
19.4		0.133096	0.201537	0.276767	0.315362
19.6		0.134673	0.203407	0.279055	0.317383
19.8		0.136241	0.205277	0.281296	0.319357
20		0.137816	0.20715		0.283377	0.32115
20.2		0.138342	0.207711	0.285377	0.322849
20.4		0.139813	0.20949		0.287618	0.324837
20.6		0.14139		0.211354	0.28949		0.326406
20.8		0.142069	0.21202		0.291263	0.327863
21		0.143634	0.213868	0.293468	0.32982
21.2		0.14515		0.215667	0.295324	0.331393
21.4		0.146659	0.217443	0.297527	0.333356
21.6		0.147467	0.218528	0.299555	0.335133
21.8		0.149019	0.220345	0.301604	0.33693
22		0.15057		0.222161	0.303822	0.33892
22.2		0.152115	0.223965	0.305993	0.340862
22.4		0.153638	0.225746	0.308176	0.342821
22.6		0.155172	0.227529	0.310361	0.344785
22.8		0.156719	0.229326	0.312523	0.346727
23		0.157971	0.230838	0.314609	0.348594
23.2		0.159212	0.232298	0.316671	0.350432
23.4		0.160738	0.234054	0.318263	0.351749
23.6		0.16224		0.235794	0.320196	0.353456
23.8		0.163241	0.236886	0.322263	0.355303
24		0.164772	0.238648	0.324363	0.357198
24.2		0.16629		0.240393	0.326454	0.359085
24.4		0.167792	0.242108	0.328539	0.360968
24.6		0.169292	0.243829	0.330616	0.362848
24.8		0.170803	0.245555	0.332191	0.364185
25		0.172311	0.247275	0.334255	0.366056
25.2		0.173797	0.248966	0.336296	0.367903
25.4		0.174517	0.249717	0.338067	0.369451
25.6		0.17601		0.251413	0.340092	0.371288
25.8		0.177513	0.253119	0.34207		0.373078
26		0.179001	0.254808	0.344069	0.374892
26.2		0.18049		0.256493	0.346044	0.376683
26.4		0.181976	0.258172	0.348014	0.378473
26.6		0.183467	0.259852	0.349981	0.38026
26.8		0.184948	0.261519	0.351935	0.382037
27		0.186433	0.263186	0.35388		0.383807
27.2		0.187914	0.264846	0.355811	0.385564
27.4		0.188526	0.26559		0.357483	0.387048
27.6		0.190001	0.267241	0.359388	0.388782
27.8		0.191466	0.268879	0.361288	0.390514
28		0.192878	0.270451	0.363092	0.392144
28.2		0.194328	0.27207		0.36494		0.393825
28.4		0.19579		0.273696	0.366637	0.395346
28.6		0.197244	0.275309	0.368488	0.397035
28.8		0.198694	0.276917	0.370326	0.398712
29		0.200122	0.278497	0.372146	0.400373
29.2		0.201559	0.280084	0.373967	0.402036
29.4		0.202591	0.281322	0.375588	0.403495
29.6		0.204033	0.28291		0.377387	0.40514
29.8		0.205474	0.284495	0.379176	0.406776
30		0.206902	0.286063	0.380956	0.408405



Direct questions to: 
xjdu@physics.tamu.edu and/or rapp@comp.tamu.edu
